customer_id,signup_date,city,age_group,acquisition_channel
C00001,2024-07-22,Chennai,26-35,Facebook
C00002,2025-10-04,Mumbai,18-25,Facebook
C00003,2024-11-14,Kolkata,26-35,YouTube
C00004,2025-09-28,Pune,36-45,Referral
C00005,2025-06-26,Bangalore,26-35,Referral
C00006,2024-11-07,Ahmedabad,18-25,Referral
C00007,2025-04-27,Chennai,26-35,Instagram
C00008,2024-07-24,Chennai,56+,YouTube
C00009,2025-09-22,Bangalore,26-35,Organic
C00010,2025-01-11,Mumbai,26-35,Organic
C00011,2025-03-03,Mumbai,18-25,Google
C00012,2024-10-09,Ahmedabad,26-35,Instagram
C00013,2025-02-19,Pune,36-45,YouTube
C00014,2025-03-10,Kolkata,36-45,Instagram
C00015,2024-11-21,Mumbai,26-35,Instagram
C00016,2026-03-18,Delhi,46-55,Organic
C00017,2024-12-26,Hyderabad,26-35,Organic
C00018,2024-10-24,Bangalore,46-55,Instagram
C00019,2025-06-16,Kolkata,18-25,Google
C00020,2025-01-20,Pune,26-35,Organic
C00021,2025-04-17,Chennai,46-55,Facebook
C00022,2025-10-07,Mumbai,46-55,Referral
C00023,2024-08-19,Ahmedabad,36-45,YouTube
C00024,2025-05-22,Kolkata,36-45,Google
C00025,2024-07-14,Chennai,36-45,Organic
C00026,2024-07-29,Delhi,36-45,Referral
C00027,2024-08-29,Mumbai,18-25,YouTube
C00028,2024-10-12,Bangalore,26-35,Organic
C00029,2025-02-09,Bangalore,36-45,Google
C00030,2026-02-18,Pune,26-35,Instagram
C00031,2026-01-31,Chennai,46-55,YouTube
C00032,2024-09-04,Ahmedabad,26-35,Instagram
C00033,2026-03-26,Delhi,18-25,Organic
C00034,2025-08-10,Mumbai,18-25,Referral
C00035,2025-06-19,Mumbai,46-55,Instagram
C00036,2025-11-19,Delhi,18-25,Organic
C00037,2025-05-06,Bangalore,46-55,Referral
C00038,2024-12-17,Mumbai,18-25,YouTube
C00039,2025-06-04,Delhi,26-35,Google
C00040,2025-10-07,Pune,36-45,Instagram
C00041,2025-09-10,Mumbai,26-35,Instagram
C00042,2024-10-17,Kolkata,36-45,Google
C00043,2026-02-20,Pune,18-25,Organic
C00044,2024-12-29,Delhi,26-35,Google
C00045,2025-12-06,Kolkata,26-35,Instagram
C00046,2025-01-16,Chennai,46-55,Facebook
C00047,2024-08-10,Mumbai,18-25,Instagram
C00048,2026-03-29,Delhi,26-35,Google
C00049,2025-07-12,Pune,36-45,YouTube
C00050,2024-11-15,Bangalore,56+,Organic
C00051,2024-07-01,Delhi,46-55,Google
C00052,2024-09-21,Bangalore,46-55,Facebook
C00053,2024-10-17,Chennai,26-35,Referral
C00054,2026-02-12,Pune,26-35,Instagram
C00055,2024-10-22,Pune,46-55,Instagram
C00056,2024-10-12,Chennai,46-55,Facebook
C00057,2025-12-18,Mumbai,36-45,Google
C00058,2026-01-13,Hyderabad,36-45,YouTube
C00059,2024-11-11,Bangalore,46-55,Instagram
C00060,2025-08-20,Bangalore,18-25,Instagram
C00061,2025-06-07,Pune,26-35,YouTube
C00062,2025-07-04,Mumbai,56+,Facebook
C00063,2025-01-15,Hyderabad,26-35,Instagram
C00064,2025-10-24,Chennai,18-25,Instagram
C00065,2026-01-14,Pune,26-35,Organic
C00066,2025-10-07,Hyderabad,36-45,Referral
C00067,2026-01-29,Hyderabad,36-45,Google
C00068,2024-09-09,Delhi,36-45,Google
C00069,2025-08-24,Bangalore,18-25,Facebook
C00070,2026-03-31,Mumbai,26-35,Instagram
C00071,2025-06-08,Delhi,18-25,Google
C00072,2026-02-22,Mumbai,46-55,Google
C00073,2025-02-08,Kolkata,18-25,Instagram
C00074,2026-01-24,Delhi,26-35,Referral
C00075,2026-02-20,Bangalore,26-35,Google
C00076,2025-08-02,Delhi,26-35,Organic
C00077,2025-09-24,Delhi,26-35,Google
C00078,2025-05-31,Pune,36-45,Instagram
C00079,2025-01-19,Hyderabad,26-35,YouTube
C00080,2025-06-08,Chennai,18-25,Referral
C00081,2026-03-07,Pune,26-35,Google
C00082,2024-07-10,Mumbai,26-35,Instagram
C00083,2024-11-09,Chennai,26-35,Organic
C00084,2025-05-16,Bangalore,36-45,Organic
C00085,2025-02-02,Bangalore,26-35,Organic
C00086,2025-08-03,Bangalore,36-45,Organic
C00087,2025-02-16,Chennai,18-25,Instagram
C00088,2025-08-25,Mumbai,36-45,Facebook
C00089,2024-09-06,Bangalore,18-25,Google
C00090,2025-01-29,Hyderabad,26-35,Google
C00091,2025-09-16,Bangalore,26-35,Referral
C00092,2025-04-28,Pune,26-35,Instagram
C00093,2025-09-30,Mumbai,18-25,Referral
C00094,2025-08-11,Mumbai,36-45,Google
C00095,2025-01-26,Delhi,26-35,Organic
C00096,2025-03-31,Pune,56+,Organic
C00097,2026-03-09,Mumbai,36-45,Organic
C00098,2026-03-07,Bangalore,26-35,Referral
C00099,2024-07-23,Bangalore,36-45,Google
C00100,2025-09-24,Ahmedabad,18-25,YouTube
C00101,2025-05-10,Kolkata,26-35,Referral
C00102,2024-07-01,Pune,26-35,Referral
C00103,2025-08-10,Delhi,36-45,Instagram
C00104,2024-07-15,Ahmedabad,18-25,Google
C00105,2025-01-20,Chennai,26-35,Google
C00106,2025-09-15,Pune,36-45,Organic
C00107,2025-12-02,Mumbai,26-35,YouTube
C00108,2025-03-21,Delhi,18-25,Facebook
C00109,2025-11-29,Bangalore,26-35,Referral
C00110,2025-12-19,Kolkata,46-55,Referral
C00111,2025-04-12,Mumbai,18-25,Organic
C00112,2024-10-19,Delhi,26-35,Google
C00113,2025-08-26,Delhi,56+,Referral
C00114,2024-07-09,Hyderabad,46-55,Organic
C00115,2026-01-22,Bangalore,18-25,Google
C00116,2025-03-05,Kolkata,26-35,Google
C00117,2025-10-29,Chennai,18-25,Google
C00118,2025-10-14,Pune,46-55,Organic
C00119,2025-04-29,Mumbai,26-35,Google
C00120,2026-03-13,Pune,26-35,Google
C00121,2025-11-21,Hyderabad,18-25,Instagram
C00122,2026-01-16,Pune,26-35,YouTube
C00123,2024-08-30,Bangalore,18-25,YouTube
C00124,2025-05-06,Mumbai,36-45,Facebook
C00125,2026-03-01,Bangalore,26-35,YouTube
C00126,2025-12-02,Hyderabad,26-35,Instagram
C00127,2025-04-17,Delhi,46-55,Instagram
C00128,2024-08-14,Bangalore,18-25,Referral
C00129,2024-12-28,Bangalore,18-25,Referral
C00130,2025-07-01,Hyderabad,26-35,Organic
C00131,2025-08-15,Bangalore,36-45,Google
C00132,2026-02-11,Ahmedabad,18-25,Facebook
C00133,2024-08-29,Hyderabad,36-45,Google
C00134,2025-03-11,Mumbai,26-35,Organic
C00135,2024-12-21,Hyderabad,26-35,YouTube
C00136,2026-03-06,Bangalore,26-35,Referral
C00137,2024-10-15,Ahmedabad,18-25,Organic
C00138,2024-11-19,Hyderabad,18-25,Organic
C00139,2025-01-07,Chennai,36-45,YouTube
C00140,2024-09-06,Bangalore,26-35,YouTube
C00141,2025-08-16,Hyderabad,26-35,Google
C00142,2025-06-01,Hyderabad,46-55,Google
C00143,2025-06-22,Ahmedabad,18-25,YouTube
C00144,2026-01-31,Hyderabad,26-35,Organic
C00145,2025-04-03,Mumbai,26-35,Organic
C00146,2025-01-15,Delhi,18-25,Referral
C00147,2025-02-25,Delhi,56+,Google
C00148,2025-11-24,Hyderabad,56+,Referral
C00149,2025-06-03,Mumbai,26-35,Facebook
C00150,2024-10-17,Bangalore,46-55,Google
C00151,2025-09-14,Kolkata,18-25,Google
C00152,2025-10-20,Kolkata,56+,Instagram
C00153,2024-12-07,Bangalore,36-45,Referral
C00154,2025-06-21,Hyderabad,18-25,Google
C00155,2025-06-26,Bangalore,26-35,Organic
C00156,2024-10-20,Pune,36-45,Instagram
C00157,2024-07-06,Delhi,26-35,Google
C00158,2025-10-02,Pune,26-35,Instagram
C00159,2025-07-29,Chennai,26-35,Instagram
C00160,2025-09-30,Chennai,18-25,YouTube
C00161,2025-02-27,Bangalore,18-25,Facebook
C00162,2025-05-26,Ahmedabad,18-25,Organic
C00163,2026-03-20,Delhi,36-45,YouTube
C00164,2024-11-22,Bangalore,26-35,Instagram
C00165,2025-08-22,Hyderabad,26-35,Facebook
C00166,2024-09-23,Mumbai,18-25,Referral
C00167,2024-08-11,Kolkata,18-25,Organic
C00168,2026-03-04,Chennai,36-45,Organic
C00169,2024-09-21,Delhi,18-25,Google
C00170,2025-08-24,Ahmedabad,36-45,Google
C00171,2025-05-25,Delhi,26-35,Instagram
C00172,2025-11-30,Hyderabad,36-45,Referral
C00173,2025-06-15,Delhi,26-35,Referral
C00174,2025-09-19,Ahmedabad,46-55,Facebook
C00175,2026-01-23,Bangalore,18-25,Instagram
C00176,2025-12-13,Bangalore,46-55,Organic
C00177,2025-10-05,Mumbai,18-25,Referral
C00178,2024-10-12,Ahmedabad,18-25,Instagram
C00179,2024-10-17,Kolkata,26-35,Google
C00180,2025-05-14,Chennai,18-25,Referral
C00181,2025-08-26,Kolkata,26-35,Referral
C00182,2025-08-31,Kolkata,36-45,Google
C00183,2025-11-15,Hyderabad,36-45,Instagram
C00184,2024-09-05,Delhi,26-35,Google
C00185,2024-10-19,Chennai,56+,YouTube
C00186,2024-10-04,Pune,26-35,YouTube
C00187,2025-06-11,Mumbai,18-25,Google
C00188,2025-08-10,Bangalore,36-45,Organic
C00189,2024-09-12,Chennai,18-25,Facebook
C00190,2026-01-07,Delhi,18-25,Instagram
C00191,2025-01-10,Ahmedabad,18-25,Instagram
C00192,2025-08-27,Delhi,26-35,Instagram
C00193,2025-10-24,Bangalore,26-35,Instagram
C00194,2024-07-24,Kolkata,26-35,YouTube
C00195,2026-01-04,Bangalore,26-35,YouTube
C00196,2026-03-13,Bangalore,36-45,Referral
C00197,2026-03-05,Hyderabad,46-55,Google
C00198,2024-09-28,Kolkata,18-25,YouTube
C00199,2025-03-08,Delhi,18-25,Google
