partner_id,city,vehicle_type,joining_date
D00001,Hyderabad,Bike,2024-05-28
D00002,Delhi,Bike,2024-04-19
D00003,Hyderabad,Bike,2024-01-15
D00004,Pune,Scooter,2024-01-22
D00005,Hyderabad,Bike,2025-03-29
D00006,Hyderabad,Bike,2025-06-05
D00007,Bangalore,Bicycle,2024-08-10
D00008,Pune,Scooter,2025-02-14
D00009,Ahmedabad,Scooter,2024-06-06
D00010,Hyderabad,Bicycle,2025-06-19
D00011,Chennai,Bike,2025-06-25
D00012,Hyderabad,Bike,2025-06-23
D00013,Pune,Bicycle,2025-01-25
D00014,Delhi,Bicycle,2025-10-05
D00015,Ahmedabad,Bike,2024-03-04
D00016,Delhi,Bike,2024-11-12
D00017,Bangalore,Bike,2024-02-18
D00018,Bangalore,Bike,2025-09-22
D00019,Hyderabad,Bike,2024-02-26
D00020,Pune,Bike,2024-11-28
D00021,Pune,Scooter,2024-05-21
D00022,Bangalore,Bike,2025-06-23
D00023,Pune,Scooter,2024-11-02
D00024,Bangalore,Scooter,2025-02-23
D00025,Chennai,Bike,2026-01-03
D00026,Delhi,Scooter,2025-12-03
D00027,Mumbai,Scooter,2024-11-22
D00028,Mumbai,Scooter,2024-10-09
D00029,Mumbai,Scooter,2024-08-15
D00030,Chennai,Scooter,2025-06-09
D00031,Ahmedabad,Scooter,2026-01-27
D00032,Hyderabad,Scooter,2025-03-31
D00033,Mumbai,Bike,2025-03-06
D00034,Delhi,Scooter,2026-01-30
D00035,Pune,Scooter,2024-05-24
D00036,Mumbai,Bicycle,2024-02-28
D00037,Chennai,Bike,2024-03-13
D00038,Hyderabad,Bike,2025-03-31
D00039,Mumbai,Bike,2025-11-14
D00040,Ahmedabad,Bike,2024-06-26
D00041,Bangalore,Bike,2025-07-05
D00042,Pune,Scooter,2025-11-04
D00043,Mumbai,Bicycle,2025-11-29
D00044,Bangalore,Bike,2025-08-28
D00045,Bangalore,Bicycle,2024-10-06
D00046,Pune,Scooter,2025-05-19
D00047,Bangalore,Bike,2025-02-26
D00048,Kolkata,Bike,2025-01-01
D00049,Delhi,Bicycle,2025-06-23
D00050,Mumbai,Scooter,2025-06-03
D00051,Pune,Bike,2025-09-08
D00052,Delhi,Scooter,2025-02-26
D00053,Bangalore,Bike,2025-05-16
D00054,Mumbai,Scooter,2024-08-06
D00055,Hyderabad,Bike,2024-12-26
D00056,Mumbai,Bike,2025-09-16
D00057,Mumbai,Bike,2025-08-10
D00058,Pune,Bike,2025-01-25
D00059,Kolkata,Bike,2025-03-07
D00060,Mumbai,Scooter,2024-07-14
D00061,Chennai,Scooter,2024-10-18
D00062,Bangalore,Scooter,2025-05-21
D00063,Hyderabad,Bicycle,2024-03-29
D00064,Mumbai,Scooter,2024-01-15
D00065,Mumbai,Bike,2025-04-02
D00066,Bangalore,Bike,2025-07-02
D00067,Bangalore,Scooter,2026-01-17
D00068,Delhi,Scooter,2024-12-24
D00069,Delhi,Bicycle,2024-04-03
D00070,Mumbai,Bike,2025-04-28
D00071,Mumbai,Bike,2024-08-22
D00072,Delhi,Scooter,2024-04-29
D00073,Pune,Scooter,2025-04-18
D00074,Mumbai,Bike,2025-07-01
D00075,Bangalore,Bike,2024-02-11
D00076,Delhi,Scooter,2025-07-05
D00077,Hyderabad,Bike,2025-03-13
D00078,Hyderabad,Scooter,2025-07-19
D00079,Chennai,Bicycle,2025-04-25
D00080,Delhi,Bike,2024-12-22
D00081,Hyderabad,Bike,2024-09-11
D00082,Mumbai,Bicycle,2025-05-03
D00083,Kolkata,Bike,2024-06-01
D00084,Chennai,Bike,2025-02-22
D00085,Bangalore,Bike,2025-07-27
D00086,Ahmedabad,Scooter,2024-06-26
D00087,Mumbai,Bike,2024-03-06
D00088,Ahmedabad,Scooter,2024-01-18
D00089,Delhi,Bike,2025-02-26
D00090,Mumbai,Bike,2024-11-11
D00091,Hyderabad,Bike,2025-05-13
D00092,Bangalore,Bike,2025-09-12
D00093,Pune,Scooter,2026-01-15
D00094,Bangalore,Bike,2024-09-02
D00095,Bangalore,Scooter,2024-03-26
D00096,Delhi,Bike,2025-07-24
D00097,Ahmedabad,Bike,2024-01-15
D00098,Ahmedabad,Bike,2025-05-02
D00099,Hyderabad,Scooter,2024-07-28
D00100,Hyderabad,Scooter,2024-09-26
D00101,Delhi,Scooter,2024-04-04
D00102,Mumbai,Bike,2024-01-01
D00103,Ahmedabad,Bicycle,2024-05-27
D00104,Chennai,Scooter,2024-11-24
D00105,Pune,Bicycle,2024-08-11
D00106,Delhi,Bike,2024-10-26
D00107,Chennai,Bike,2024-03-26
D00108,Ahmedabad,Scooter,2024-04-15
D00109,Ahmedabad,Bike,2025-07-23
D00110,Hyderabad,Scooter,2025-09-15
D00111,Bangalore,Bike,2025-07-17
D00112,Ahmedabad,Scooter,2025-12-29
D00113,Hyderabad,Bike,2025-07-11
D00114,Bangalore,Bike,2024-04-02
D00115,Bangalore,Bike,2025-07-15
D00116,Hyderabad,Bicycle,2024-06-24
D00117,Kolkata,Bike,2025-08-15
D00118,Ahmedabad,Scooter,2025-04-26
D00119,Ahmedabad,Bike,2025-10-07
D00120,Hyderabad,Bike,2025-12-25
D00121,Ahmedabad,Bike,2025-06-08
D00122,Bangalore,Bike,2025-12-12
D00123,Bangalore,Bike,2025-02-15
D00124,Bangalore,Bike,2025-12-10
D00125,Chennai,Scooter,2024-03-08
D00126,Ahmedabad,Scooter,2024-12-01
D00127,Kolkata,Scooter,2025-08-04
D00128,Ahmedabad,Bike,2026-01-21
D00129,Hyderabad,Bike,2025-10-24
D00130,Chennai,Bike,2024-10-04
D00131,Delhi,Bike,2025-04-23
D00132,Chennai,Scooter,2024-03-07
D00133,Chennai,Bike,2024-03-29
D00134,Mumbai,Bike,2025-06-20
D00135,Bangalore,Scooter,2024-08-26
D00136,Delhi,Bike,2025-02-27
D00137,Kolkata,Bike,2024-06-06
D00138,Hyderabad,Bicycle,2025-09-01
D00139,Mumbai,Bike,2024-03-06
D00140,Ahmedabad,Scooter,2025-04-18
D00141,Mumbai,Bike,2025-05-30
D00142,Delhi,Bicycle,2025-09-17
D00143,Chennai,Scooter,2024-07-13
D00144,Mumbai,Bike,2024-09-19
D00145,Mumbai,Bicycle,2025-02-27
D00146,Chennai,Bike,2024-08-07
D00147,Mumbai,Scooter,2025-07-15
D00148,Delhi,Scooter,2025-07-31
D00149,Bangalore,Bike,2025-07-29
D00150,Kolkata,Bike,2025-01-14
D00151,Hyderabad,Bike,2025-04-23
D00152,Kolkata,Scooter,2024-05-16
D00153,Pune,Scooter,2024-05-30
D00154,Delhi,Bike,2024-10-12
D00155,Mumbai,Scooter,2024-06-06
D00156,Mumbai,Bicycle,2025-09-02
D00157,Chennai,Bike,2024-07-15
D00158,Hyderabad,Scooter,2025-12-05
D00159,Pune,Bike,2024-11-09
D00160,Chennai,Bicycle,2025-08-02
D00161,Delhi,Scooter,2024-02-28
D00162,Kolkata,Bicycle,2025-07-01
D00163,Mumbai,Scooter,2024-12-13
D00164,Pune,Bike,2025-09-10
D00165,Delhi,Bike,2024-05-17
D00166,Delhi,Bike,2024-06-01
D00167,Chennai,Bike,2025-10-19
D00168,Mumbai,Scooter,2025-03-17
D00169,Kolkata,Bike,2025-03-04
D00170,Pune,Scooter,2025-03-28
D00171,Pune,Scooter,2024-09-29
D00172,Mumbai,Bike,2025-12-21
D00173,Kolkata,Scooter,2025-02-26
D00174,Ahmedabad,Bike,2024-01-12
D00175,Delhi,Bike,2024-08-06
D00176,Hyderabad,Bike,2026-01-09
D00177,Kolkata,Bike,2025-01-05
D00178,Bangalore,Bike,2025-07-07
D00179,Delhi,Bike,2024-01-15
D00180,Ahmedabad,Bike,2024-01-18
D00181,Hyderabad,Bike,2024-06-04
D00182,Ahmedabad,Bike,2025-01-30
D00183,Mumbai,Scooter,2025-04-09
D00184,Hyderabad,Bike,2024-02-23
D00185,Mumbai,Bike,2025-11-29
D00186,Mumbai,Bike,2025-04-04
D00187,Ahmedabad,Bike,2024-09-24
D00188,Pune,Bike,2024-12-10
D00189,Ahmedabad,Bike,2025-01-20
D00190,Delhi,Scooter,2025-08-11
D00191,Ahmedabad,Scooter,2024-03-11
D00192,Pune,Bicycle,2025-03-17
D00193,Bangalore,Bicycle,2025-02-02
D00194,Mumbai,Bike,2025-08-22
D00195,Delhi,Bike,2024-10-01
D00196,Delhi,Bike,2024-10-08
D00197,Ahmedabad,Scooter,2025-09-07
D00198,Ahmedabad,Scooter,2025-10-14
D00199,Bangalore,Bike,2025-09-19
D00200,Bangalore,Bicycle,2025-10-22
D00201,Delhi,Bike,2024-03-19
D00202,Kolkata,Bicycle,2025-05-14
D00203,Pune,Bicycle,2025-06-08
D00204,Hyderabad,Bike,2024-07-19
D00205,Hyderabad,Bike,2024-12-11
D00206,Ahmedabad,Bike,2026-01-25
D00207,Delhi,Bike,2024-04-16
D00208,Bangalore,Scooter,2025-09-15
