order_id,partner_id,pickup_time,delivered_time,distance_km
O000001,D00336,21:08:00,21:36:00,6.33
O000002,D01445,20:43:00,21:16:00,7.66
O000003,D01475,19:16:00,19:42:00,1.75
O000004,D00006,18:59:00,19:16:00,1.44
O000005,D00730,13:15:00,13:47:00,5.41
O000006,D01962,15:40:00,16:14:00,1.69
O000007,D00150,19:15:00,19:35:00,3.6
O000008,D00604,13:24:00,13:36:00,4.8
O000009,D01225,22:30:00,22:56:00,8.27
O000010,D01247,17:53:00,18:26:00,3.57
O000011,D01477,21:59:00,22:27:00,14.21
O000013,D01236,23:13:00,23:40:00,4.79
O000014,D00497,23:26:00,23:56:00,2.24
O000015,D00420,19:42:00,20:10:00,5.94
O000016,D00550,18:30:00,19:04:00,6.77
O000017,D01263,11:19:00,11:38:00,1.66
O000018,D01681,17:09:00,17:37:00,1.27
O000019,D01145,10:20:00,10:51:00,6.37
O000020,D00824,14:38:00,15:21:00,1.87
O000022,D00513,16:38:00,16:55:00,2.58
O000024,D01474,12:17:00,12:58:00,2.57
O000025,D00802,13:15:00,13:49:00,5.8
O000026,D01975,19:55:00,20:22:00,5.02
O000028,D01179,13:38:00,13:53:00,2.08
O000029,D00026,14:09:00,14:35:00,1.84
O000030,D01823,17:09:00,17:31:00,7.21
O000031,D00432,23:34:00,00:08:00,1.78
O000032,D00320,21:12:00,21:25:00,6.79
O000033,D01677,16:48:00,17:12:00,9.53
O000034,D01050,17:17:00,17:42:00,5.18
O000035,D00700,16:41:00,17:15:00,1.39
O000037,D01566,23:09:00,23:49:00,5.6
O000038,D00466,18:00:00,18:12:00,8.76
O000039,D01669,15:38:00,15:50:00,4.09
O000040,D00209,19:36:00,20:07:00,2.0
O000042,D01256,22:28:00,22:49:00,2.61
O000043,D00134,19:33:00,20:00:00,3.66
O000044,D01259,11:15:00,11:38:00,3.95
O000045,D00146,15:48:00,16:00:00,14.15
O000047,D00868,14:06:00,14:32:00,8.94
O000048,D01824,18:02:00,18:32:00,4.96
O000049,D01942,18:05:00,18:47:00,1.09
O000050,D01136,15:50:00,16:08:00,4.73
O000051,D01068,22:13:00,22:33:00,2.23
O000052,D01525,14:02:00,14:14:00,4.46
O000054,D00463,17:08:00,17:22:00,9.39
O000055,D00681,22:49:00,23:08:00,5.56
O000056,D00726,11:21:00,11:40:00,4.16
O000057,D01574,19:49:00,20:16:00,1.52
O000058,D01137,13:57:00,14:28:00,1.44
O000059,D00188,14:51:00,15:24:00,6.17
O000060,D00507,18:25:00,18:52:00,3.03
O000061,D00314,23:12:00,23:30:00,10.25
O000062,D00524,10:38:00,11:05:00,2.24
O000063,D00867,23:32:00,23:57:00,1.84
O000064,D00814,14:17:00,14:31:00,10.38
O000065,D00221,11:57:00,12:20:00,6.01
O000067,D00910,18:14:00,18:39:00,4.66
O000068,D01999,10:45:00,11:18:00,1.27
O000069,D00987,10:58:00,11:17:00,2.74
O000070,D01234,22:09:00,22:35:00,2.58
O000071,D00637,18:56:00,19:31:00,0.5
O000072,D01612,19:25:00,19:48:00,3.37
O000073,D01120,17:29:00,17:53:00,3.24
O000074,D01201,11:42:00,12:16:00,5.06
O000076,D00909,20:30:00,20:52:00,1.13
O000077,D00819,23:25:00,23:52:00,1.58
O000079,D01956,21:03:00,21:15:00,2.36
O000080,D00601,13:45:00,14:13:00,3.45
O000081,D01872,18:15:00,18:38:00,11.46
O000082,D00781,22:19:00,22:53:00,5.43
O000083,D01639,17:34:00,17:54:00,2.82
O000084,D00562,23:06:00,23:35:00,12.01
O000085,D01724,17:28:00,17:44:00,3.88
O000086,D00624,20:07:00,20:34:00,6.8
O000087,D00802,18:07:00,18:38:00,1.63
O000088,D01366,23:12:00,23:24:00,4.37
