order_id,customer_id,restaurant_id,order_date,order_time,order_status,payment_method,order_value,discount,delivery_fee,delivery_time_minutes,rating
O000001,C09093,R0446,13-02-2026,21:08:00,Delivered,UPI,516.82,103.36,58.74,28,4.2
O000002,C08395,R0322,26-11-2025,20:43:00,Delivered,UPI,823.75,82.38,21.38,33,4.4
O000003,C02978,R0179,01-06-2025,19:16:00,Delivered,Cash,762.02,0,38.53,26,5.0
O000004,C07978,R0462,20-07-2025,18:59:00,Delivered,Debit Card,629.12,94.37,0,17,4.0
O000005,C00080,R0302,11-06-2025,13:15:00,Delivered,UPI,376.22,37.62,20.46,32,4.3
O000006,C04326,R0139,10-10-2025,15:40:00,Delivered,UPI,310.73,46.61,37.97,34,3.6
O000007,C05485,R0062,14-11-2025,19:15:00,Delivered,Cash,422.59,42.26,11.38,20,4.0
O000008,C06590,R0123,22-04-2026,13:24:00,Delivered,Credit Card,341.17,17.06,42.37,12,5.0
O000009,C00010,R0490,24-01-2025,22:30:00,Delivered,UPI,357.35,89.34,12.57,26,4.5
O000010,C03034,R0062,14-04-2025,17:53:00,Delivered,Cash,550.2,0,37.94,33,4.5
O000011,C02572,R0314,16-05-2026,21:59:00,Delivered,Debit Card,555.38,55.54,17.05,28,4.2
O000012,C03879,R0493,28-08-2025,13:47:00,Cancelled,Cash,756.09,75.61,21.34,0,0.0
O000013,C06918,R0301,24-04-2026,23:13:00,Delivered,Credit Card,657.78,98.67,25.95,27,4.5
O000014,C00781,R0412,05-09-2025,23:26:00,Delivered,UPI,689,34.45,19.09,30,4.6
O000015,C07499,R0245,23-09-2025,19:42:00,Delivered,UPI,496.98,24.85,35.49,28,4.9
O000016,C01008,R0183,28-02-2025,18:30:00,Delivered,Credit Card,423.19,0,34.96,34,4.5
O000017,C05070,R0113,15-11-2025,11:19:00,Delivered,Credit Card,834.17,41.71,32.25,19,4.7
O000018,C08188,R0011,17-04-2026,17:09:00,Delivered,Cash,469.97,47,27.82,28,4.9
O000019,C08790,R0281,23-12-2025,10:20:00,Delivered,UPI,237.49,23.75,19.93,31,5.0
O000020,C09720,R0265,30-09-2025,14:38:00,Delivered,UPI,483.44,72.52,9.98,43,4.3
O000021,C04316,R0413,09-01-2026,22:13:00,Cancelled,UPI,633.56,31.68,28.13,0,0.0
O000022,C04893,R0098,28-04-2025,16:38:00,Delivered,Credit Card,320.8,16.04,39.55,17,4.9
O000023,C09012,R0128,23-06-2025,23:02:00,Rejected,UPI,946.29,236.57,19.87,0,0.0
O000024,C01280,R0007,30-09-2025,12:17:00,Delivered,Wallet,764.67,114.7,27.67,41,4.3
O000025,C09094,R0236,06-01-2025,13:15:00,Delivered,UPI,605.41,30.27,16.45,34,4.5
O000026,C00884,R0197,10-02-2025,19:55:00,Delivered,UPI,316.78,31.68,31.35,27,4.6
O000027,C00911,R0030,13-03-2026,23:53:00,Cancelled,Debit Card,594.07,118.81,25.73,0,0.0
O000028,C00455,R0331,02-05-2025,13:38:00,Delivered,Credit Card,1434.85,215.23,10.29,15,4.1
O000029,C02305,R0109,03-01-2026,14:09:00,Delivered,UPI,531.21,132.8,25.79,26,4.3
O000030,C08788,R0393,20-01-2025,17:09:00,Delivered,Credit Card,349.45,34.94,31.39,22,3.8
O000031,C02076,R0334,17-05-2025,23:34:00,Delivered,Credit Card,393.38,39.34,26.51,34,3.9
O000032,C04422,R0130,03-02-2025,21:12:00,Delivered,UPI,591.5,118.3,31.2,13,4.7
O000033,C08055,R0097,08-08-2025,16:48:00,Delivered,UPI,258.75,12.94,26.55,24,4.0
O000034,C08804,R0242,20-09-2025,17:17:00,Delivered,UPI,397.94,19.9,28.18,25,4.1
O000035,C04388,R0412,28-02-2025,16:41:00,Delivered,UPI,292.61,0,27,34,3.8
O000036,C03629,R0364,09-03-2026,10:11:00,Cancelled,UPI,445.94,22.3,29.24,0,0.0
O000037,C04645,R0130,08-04-2025,23:09:00,Delivered,UPI,487.51,73.13,25.56,40,3.3
O000038,C05881,R0495,29-05-2025,18:00:00,Delivered,UPI,396.95,39.7,35.07,12,4.5
O000039,C03222,R0079,19-04-2026,15:38:00,Delivered,UPI,571.83,57.18,3.74,12,4.8
O000040,C06739,R0461,04-02-2026,19:36:00,Delivered,UPI,477.99,71.7,39.48,31,4.7
O000041,C08075,R0086,24-06-2026,14:16:00,Cancelled,UPI,687.85,171.96,37.69,0,0.0
O000042,C00501,R0157,04-06-2025,22:28:00,Delivered,UPI,695.89,0,11.04,21,4.8
O000043,C08215,R0282,28-01-2025,19:33:00,Delivered,UPI,151.21,15.12,35.93,27,4.5
O000044,C06816,R0207,08-02-2026,11:15:00,Delivered,UPI,728.28,36.41,38.72,23,5.0
O000045,C00586,R0049,18-10-2025,15:48:00,Delivered,UPI,598.14,89.72,23.37,12,4.8
O000046,C07998,R0464,25-03-2026,16:09:00,Cancelled,UPI,576.86,57.69,29.42,0,0.0
O000047,C04956,R0225,30-05-2026,14:06:00,Delivered,UPI,1101.13,0,22.68,26,4.9
O000048,C00221,R0282,28-01-2025,18:02:00,Delivered,UPI,167.99,8.4,16.96,30,4.1
O000049,C00818,R0446,03-03-2026,18:05:00,Delivered,Credit Card,376.07,37.61,38.79,42,4.4
O000050,C00589,R0006,26-02-2026,15:50:00,Delivered,Wallet,286.38,28.64,16.6,18,4.6
O000051,C04070,R0243,09-10-2025,22:13:00,Delivered,UPI,418.36,20.92,11.35,20,3.9
O000052,C05221,R0359,17-03-2026,14:02:00,Delivered,UPI,554.83,55.48,9.25,12,5.0
O000053,C02404,R0393,25-05-2026,18:24:00,Cancelled,Debit Card,303.15,0,20.17,0,0.0
O000054,C09714,R0232,03-05-2026,17:08:00,Delivered,Credit Card,597.21,59.72,31.72,14,4.6
O000055,C00313,R0304,31-10-2025,22:49:00,Delivered,UPI,626.31,0,36.1,19,5.0
O000056,C09733,R0381,17-04-2025,11:21:00,Delivered,UPI,213.09,0,44.83,19,5.0
O000057,C01511,R0104,26-06-2026,19:49:00,Delivered,Debit Card,597.87,119.57,22.9,27,4.1
O000058,C01096,R0457,07-04-2026,13:57:00,Delivered,Credit Card,504.96,0,36.47,31,4.6
O000059,C04918,R0352,24-04-2025,14:51:00,Delivered,UPI,609.89,0,7.89,33,5.0
O000060,C07609,R0186,10-05-2025,18:25:00,Delivered,UPI,558.66,83.8,24.06,27,4.8
O000061,C06610,R0076,11-01-2025,23:12:00,Delivered,Credit Card,782.02,117.3,26.71,18,5.0
O000062,C07934,R0233,18-11-2025,10:38:00,Delivered,UPI,598.26,59.83,13.51,27,4.4
O000063,C04531,R0237,23-05-2025,23:32:00,Delivered,UPI,642.87,32.14,30.87,25,4.1
O000064,C08770,R0220,30-03-2025,14:17:00,Delivered,Debit Card,327.98,65.6,23.26,14,5.0
O000065,C07641,R0272,07-03-2026,11:57:00,Delivered,UPI,418.13,62.72,27.82,23,4.7
O000066,C00436,R0194,04-02-2026,22:12:00,Rejected,UPI,569.93,113.99,9.52,0,0.0
O000067,C05020,R0296,10-02-2025,18:14:00,Delivered,Debit Card,516.8,77.52,18.36,25,4.0
O000068,C09725,R0242,22-05-2025,10:45:00,Delivered,Credit Card,668.37,100.26,27.45,33,4.4
O000069,C07264,R0439,01-03-2026,10:58:00,Delivered,UPI,619.46,154.86,37.41,19,4.4
O000070,C08218,R0311,29-03-2025,22:09:00,Delivered,Debit Card,578.83,57.88,15.47,26,4.2
O000071,C07200,R0304,03-12-2025,18:56:00,Delivered,UPI,269.78,13.49,16.93,35,3.6
O000072,C06077,R0005,15-09-2025,19:25:00,Delivered,UPI,424.23,84.85,49.35,23,4.7
O000073,C03349,R0145,12-09-2025,17:29:00,Delivered,UPI,344.64,0,32.93,24,4.7
O000074,C00669,R0434,09-04-2025,11:42:00,Delivered,Cash,728.14,145.63,25.24,34,4.5
O000075,C03016,R0170,19-01-2026,21:38:00,Cancelled,Credit Card,390.64,19.53,25.11,0,0.0
O000076,C02402,R0436,11-01-2025,20:30:00,Delivered,UPI,276.81,0,20.55,22,4.8
O000077,C07245,R0061,26-05-2025,23:25:00,Delivered,Debit Card,624.59,62.46,35.49,27,4.6
O000078,C03467,R0093,07-10-2025,16:37:00,Cancelled,Wallet,989.71,0,32.18,0,0.0
O000079,C03538,R0026,08-05-2026,21:03:00,Delivered,UPI,519.24,77.89,26.11,12,4.3
O000080,C08574,R0060,24-02-2026,13:45:00,Delivered,Debit Card,594.69,118.94,15.67,28,4.0
O000081,C01957,R0039,29-07-2025,18:15:00,Delivered,Wallet,450.98,0,26.92,23,4.1
O000082,C07612,R0355,11-01-2026,22:19:00,Delivered,Debit Card,554.39,83.16,42.25,34,4.4
O000083,C03524,R0332,09-01-2025,17:34:00,Delivered,UPI,784.08,39.2,26.97,20,5.0
O000084,C09408,R0477,30-05-2025,23:06:00,Delivered,Credit Card,1301.45,260.29,6.29,29,3.8
O000085,C09553,R0044,12-02-2025,17:28:00,Delivered,UPI,312.88,0,30.34,16,4.9
O000086,C04226,R0075,27-05-2025,20:07:00,Delivered,Debit Card,461.46,46.15,11.38,27,4.3
O000087,C07820,R0301,29-01-2025,18:07:00,Delivered,Cash,273.87,0,9.41,31,4.0
O000088,C09168,R0411,11-12-2025,23:12:00,Delivered,Credit Card,412.67,0,41,12,5.0
O000089,C06034,R0317,11-11-2025,18:24:00,Delivered,UPI,524.28,104.86,6.66,18,5.0
O000090,C08958,R0476,27-02-2026,17:45:00,Delivered,Debit Card,479.87,71.98,27.19,23,4.8
O000091,C06833,R0354,10-08-2025,22:53:00,Delivered,UPI,315.07,15.75,30.15,33,4.7
O000092,C00185,R0410,24-04-2026,14:35:00,Delivered,Credit Card,728.06,182.02,28.44,20,4.8
O000093,C06081,R0102,09-11-2025,18:30:00,Delivered,UPI,393.61,78.72,29.46,26,4.0
O000094,C02393,R0276,04-07-2025,14:51:00,Delivered,UPI,661.99,33.1,21.69,20,3.8
O000095,C05909,R0166,09-08-2025,22:45:00,Delivered,Debit Card,412.85,82.57,24.61,24,4.2
O000096,C07999,R0461,22-07-2025,14:35:00,Delivered,UPI,659.59,32.98,20.66,24,4.4
O000097,C01981,R0399,17-06-2026,18:04:00,Delivered,Credit Card,625.26,62.53,37.26,33,4.5
O000098,C06651,R0007,10-04-2025,18:40:00,Delivered,UPI,652.63,97.89,27.9,16,4.5
O000099,C05415,R0121,21-02-2026,11:45:00,Delivered,Cash,311.87,15.59,38.32,31,3.9
O000100,C02229,R0432,06-05-2026,20:42:00,Rejected,UPI,266.6,0,34.75,0,0.0
O000101,C07595,R0498,10-03-2025,23:07:00,Delivered,Debit Card,420.24,63.04,8.93,14,4.7
O000102,C07815,R0347,12-10-2025,13:23:00,Delivered,Cash,317.23,15.86,34.55,20,4.5
O000103,C00067,R0375,19-01-2026,22:47:00,Delivered,Debit Card,803.63,80.36,17.16,29,3.6
O000104,C03166,R0195,04-10-2025,16:56:00,Delivered,Credit Card,365.29,54.79,28.27,16,4.9
O000105,C00734,R0459,17-04-2025,15:14:00,Delivered,Debit Card,640.31,32.02,45.3,24,5.0
O000106,C06022,R0431,24-11-2025,23:30:00,Delivered,UPI,503.51,75.53,2.03,41,4.4
O000107,C08816,R0352,12-03-2026,18:11:00,Delivered,UPI,965.58,96.56,25.73,23,4.3
O000108,C09347,R0369,31-01-2026,21:01:00,Delivered,UPI,447.41,44.74,14.26,46,3.8
O000109,C03964,R0058,20-05-2026,22:37:00,Delivered,UPI,976.51,97.65,24.25,26,4.6
O000110,C02397,R0399,23-02-2026,14:46:00,Delivered,UPI,545.71,109.14,32.05,34,4.7
O000111,C03138,R0454,16-08-2025,11:17:00,Cancelled,UPI,274.54,13.73,28.24,0,0.0
O000112,C00554,R0143,16-04-2026,13:18:00,Delivered,UPI,258.03,25.8,30.59,25,4.3
O000113,C03498,R0428,21-10-2025,22:48:00,Delivered,UPI,445.65,22.28,13.08,21,4.3
O000114,C06602,R0288,21-02-2025,20:54:00,Delivered,Credit Card,478.42,95.68,45.25,32,3.9
O000115,C00183,R0498,04-06-2026,18:40:00,Delivered,Cash,893.17,89.32,14.85,29,3.6
O000116,C07285,R0180,05-06-2026,22:14:00,Delivered,UPI,505.56,25.28,13.9,25,4.2
O000117,C08438,R0431,11-01-2025,21:41:00,Cancelled,UPI,553.36,55.34,24.92,0,0.0
O000118,C03126,R0328,08-03-2025,15:17:00,Delivered,UPI,567.82,85.17,29.67,31,4.2
O000119,C07679,R0230,21-01-2026,17:04:00,Delivered,UPI,744.21,37.21,19.9,19,4.9
O000120,C04685,R0370,06-07-2025,10:47:00,Delivered,Credit Card,257.46,25.75,25.25,39,3.8
O000121,C09884,R0202,22-12-2025,23:19:00,Cancelled,UPI,513.02,0,15.97,0,0.0
O000122,C05011,R0324,08-05-2025,12:20:00,Delivered,UPI,490.02,73.5,37.88,28,4.1
O000123,C05998,R0250,21-05-2025,18:02:00,Delivered,UPI,432.36,0,47.72,24,4.5
O000124,C08160,R0440,16-06-2025,20:13:00,Delivered,Cash,393.27,0,31.1,45,4.2
O000125,C02739,R0275,19-01-2025,21:59:00,Delivered,Cash,774.37,38.72,17.7,18,4.3
O000126,C06931,R0065,12-03-2025,19:10:00,Delivered,Cash,515.94,77.39,22.45,17,5.0
O000127,C08511,R0336,21-12-2025,11:42:00,Delivered,UPI,319.11,63.82,30.21,30,4.7
O000128,C02730,R0277,11-01-2025,15:55:00,Delivered,Debit Card,682.24,102.34,0,32,3.8
O000129,C08068,R0308,23-10-2025,11:16:00,Delivered,Debit Card,471.84,70.78,8.77,26,3.5
O000130,C02731,R0269,21-11-2025,10:04:00,Delivered,UPI,1198.58,0,0,23,3.8
O000131,C06100,R0399,01-03-2025,16:34:00,Delivered,Credit Card,575.24,57.52,33.68,33,3.5
O000132,C03250,R0375,10-05-2025,10:05:00,Delivered,UPI,237.66,0,39.83,17,4.8
O000133,C06289,R0358,12-06-2025,20:09:00,Delivered,UPI,488.45,97.69,43.63,33,4.3
O000134,C01460,R0242,03-02-2025,12:01:00,Delivered,Cash,410.58,61.59,37.22,24,4.6
O000135,C08098,R0137,25-08-2025,10:06:00,Delivered,UPI,538.4,0,35.42,16,4.9
O000136,C01343,R0127,03-01-2026,15:58:00,Delivered,UPI,454.99,0,15.53,21,3.7
O000137,C03352,R0151,02-02-2026,18:22:00,Delivered,UPI,747.6,0,20.41,30,4.7
O000138,C08175,R0128,28-02-2025,23:40:00,Rejected,Debit Card,906.77,45.34,14.26,0,0.0
O000139,C00963,R0366,17-12-2025,23:48:00,Delivered,Debit Card,427.79,21.39,32.61,24,4.5
O000140,C08318,R0168,20-04-2026,21:24:00,Delivered,UPI,732.23,36.61,46.74,19,4.7
O000141,C04008,R0454,28-04-2025,20:54:00,Delivered,UPI,398.13,39.81,39.69,26,5.0
O000142,C02601,R0208,23-05-2026,20:26:00,Delivered,UPI,708.52,141.7,27.68,31,4.9
O000143,C08314,R0404,22-10-2025,11:11:00,Delivered,UPI,330.77,33.08,35.85,25,5.0
O000144,C08504,R0343,03-10-2025,19:44:00,Delivered,Credit Card,375.71,18.79,45.78,18,4.3
O000145,C08617,R0498,17-04-2026,10:38:00,Delivered,Debit Card,389.72,77.94,33.7,28,3.7
O000146,C05708,R0211,30-01-2025,12:45:00,Delivered,UPI,742.85,111.43,14.73,24,3.8
O000147,C01979,R0050,28-05-2026,23:59:00,Delivered,Credit Card,386.17,77.23,14.16,29,4.3
O000148,C07122,R0111,02-01-2026,11:25:00,Delivered,UPI,542.7,27.14,28.26,17,4.8
O000149,C07034,R0059,10-01-2025,15:38:00,Delivered,UPI,207.14,31.07,11.95,21,4.2
O000150,C08805,R0069,22-05-2026,14:24:00,Delivered,UPI,326.53,0,25.44,28,4.7
O000151,C07371,R0408,06-02-2025,21:13:00,Delivered,UPI,380.09,0,13.24,26,5.0
O000152,C03084,R0353,08-01-2025,12:08:00,Delivered,Credit Card,710.3,0,24.35,23,4.4
O000153,C04476,R0184,13-02-2026,22:33:00,Delivered,Credit Card,641.81,64.18,19.55,19,4.4
O000154,C06623,R0056,22-08-2025,23:47:00,Delivered,UPI,226.69,56.67,28.9,35,4.2
O000155,C07772,R0448,04-05-2026,14:23:00,Delivered,Credit Card,601.17,30.06,30.3,16,4.8
O000156,C03086,R0149,20-02-2025,19:18:00,Delivered,UPI,650.93,65.09,18.99,38,4.2
O000157,C02600,R0273,20-04-2026,14:30:00,Delivered,UPI,353.64,17.68,4.3,26,5.0
O000158,C09030,R0107,21-01-2025,15:00:00,Delivered,UPI,334.84,16.74,39.57,12,4.9
O000159,C09922,R0335,22-05-2026,13:30:00,Delivered,UPI,473.23,47.32,46.69,34,3.7
O000160,C02996,R0043,13-06-2026,16:40:00,Delivered,UPI,546.38,0,29.85,31,3.8
O000161,C00653,R0160,10-11-2025,20:37:00,Delivered,Wallet,413.42,0,22.63,17,5.0
O000162,C06254,R0443,07-01-2026,10:54:00,Delivered,UPI,217.43,0,26.81,25,5.0
O000163,C00159,R0010,06-03-2026,23:54:00,Delivered,UPI,943.53,141.53,18.99,21,4.1
O000164,C01911,R0036,14-01-2025,22:17:00,Delivered,Credit Card,932.82,139.92,34.4,12,5.0
O000165,C05266,R0295,23-03-2025,19:24:00,Delivered,UPI,258.96,25.9,18.39,29,4.3
O000166,C03698,R0119,09-03-2025,15:06:00,Delivered,UPI,517.73,0,14.56,15,5.0
O000167,C00490,R0172,21-07-2025,21:10:00,Delivered,Credit Card,910.87,136.63,22.21,22,4.9
O000168,C03514,R0086,27-04-2025,22:27:00,Delivered,UPI,422.61,63.39,7.87,24,4.9
O000169,C06745,R0062,25-07-2025,14:56:00,Delivered,Wallet,329.56,0,30.6,20,4.5
O000170,C07504,R0427,27-08-2025,13:36:00,Cancelled,UPI,513.51,51.35,47.24,0,0.0
O000171,C07524,R0328,03-04-2025,10:45:00,Delivered,UPI,317.18,0,35.04,21,4.0
O000172,C02866,R0448,12-05-2025,20:41:00,Delivered,UPI,508.01,50.8,18.99,16,4.4
O000173,C06632,R0468,10-11-2025,11:39:00,Delivered,UPI,906,45.3,18.59,22,5.0
O000174,C03275,R0278,05-07-2025,20:22:00,Cancelled,Wallet,442.23,0,44.39,0,0.0
O000175,C06510,R0027,22-01-2026,20:33:00,Delivered,UPI,615.15,123.03,22.66,25,4.6
O000176,C00095,R0351,05-07-2025,18:20:00,Delivered,Credit Card,525.69,78.85,28.62,18,5.0
O000177,C04095,R0412,30-05-2026,19:29:00,Delivered,UPI,369.67,36.97,17.35,34,4.9
O000178,C03159,R0422,23-04-2026,18:04:00,Delivered,UPI,216.15,32.42,20.07,37,3.9
O000179,C06673,R0381,03-02-2026,15:18:00,Delivered,UPI,554.24,0,11.14,25,4.3
O000180,C02722,R0155,25-10-2025,12:27:00,Delivered,Credit Card,564.31,84.65,26.71,27,4.3
O000181,C02999,R0018,05-06-2026,10:17:00,Delivered,UPI,419,41.9,40.63,23,4.5
O000182,C05447,R0259,07-06-2025,14:53:00,Delivered,UPI,572.14,85.82,25.36,26,4.8
O000183,C06537,R0371,19-04-2025,14:53:00,Delivered,Credit Card,494.49,49.45,9.03,17,3.8
