restaurant_id,restaurant_name,city,cuisine,rating,cost_for_two
R0001,Mughlai Kitchen 001,Bangalore,Mughlai,4.47,300
R0002,South Indian Kitchen 002,Hyderabad,South Indian,4.35,700
R0003,Biryani Kitchen 003,Pune,Biryani,3.59,1000
R0004,South Indian Kitchen 004,Delhi,South Indian,4.55,400
R0005,Burgers Kitchen 005,Bangalore,Burgers,4.06,400
R0006,Biryani Kitchen 006,Hyderabad,Biryani,3.69,700
R0007,Mughlai Kitchen 007,Hyderabad,Mughlai,4.28,600
R0008,Mughlai Kitchen 008,Delhi,Mughlai,3.86,300
R0009,Street Food Kitchen 009,Mumbai,Street Food,4.08,1000
R0010,Pizza Kitchen 010,Bangalore,Pizza,3.97,1000
R0011,Desserts Kitchen 011,Delhi,Desserts,3.84,600
R0012,Street Food Kitchen 012,Kolkata,Street Food,3.73,600
R0013,Healthy Kitchen 013,Bangalore,Healthy,4.43,400
R0014,Continental Kitchen 014,Mumbai,Continental,4.26,500
R0015,Continental Kitchen 015,Pune,Continental,4.24,700
R0016,North Indian Kitchen 016,Chennai,North Indian,4.02,1500
R0017,Chinese Kitchen 017,Bangalore,Chinese,4.17,400
R0018,Healthy Kitchen 018,Hyderabad,Healthy,3.89,1200
R0019,South Indian Kitchen 019,Pune,South Indian,3.89,700
R0020,South Indian Kitchen 020,Delhi,South Indian,4.75,700
R0021,South Indian Kitchen 021,Bangalore,South Indian,4.46,500
R0022,North Indian Kitchen 022,Kolkata,North Indian,3.95,1500
R0023,Cafe Kitchen 023,Mumbai,Cafe,3.63,300
R0024,Biryani Kitchen 024,Bangalore,Biryani,3.55,400
R0025,Continental Kitchen 025,Hyderabad,Continental,3.93,500
R0026,South Indian Kitchen 026,Mumbai,South Indian,4.19,800
R0027,Burgers Kitchen 027,Bangalore,Burgers,4.19,600
R0028,Cafe Kitchen 028,Delhi,Cafe,4.2,1500
R0029,Pizza Kitchen 029,Delhi,Pizza,4.27,400
R0030,Healthy Kitchen 030,Hyderabad,Healthy,3.79,800
R0031,Street Food Kitchen 031,Mumbai,Street Food,4.68,700
R0032,Cafe Kitchen 032,Bangalore,Cafe,4.08,500
R0033,Cafe Kitchen 033,Pune,Cafe,4.25,300
R0034,Desserts Kitchen 034,Chennai,Desserts,3.92,1200
R0035,Continental Kitchen 035,Hyderabad,Continental,4.26,400
R0036,Mughlai Kitchen 036,Bangalore,Mughlai,4.88,400
R0037,North Indian Kitchen 037,Bangalore,North Indian,3.8,800
R0038,Mughlai Kitchen 038,Ahmedabad,Mughlai,3.76,400
R0039,South Indian Kitchen 039,Delhi,South Indian,3.85,800
R0040,Street Food Kitchen 040,Delhi,Street Food,4.03,1000
R0041,Biryani Kitchen 041,Pune,Biryani,3.97,500
R0042,Healthy Kitchen 042,Chennai,Healthy,3.79,300
R0043,Healthy Kitchen 043,Ahmedabad,Healthy,4.13,300
R0044,Pizza Kitchen 044,Mumbai,Pizza,4.7,300
